numero;pagina;id_produto;nome;preco;status;variacoes;skus;link
147;13;246349813;Sabonete Espumador Romã 270ml;R$178,90;Disponivel;1;SAB 25/E/270;https://danifernandes.com.br/produtos/sabonete-espumador-roma-270ml/
148;13;280621520;Difusor de Aromas Verbena e Limão Siciliano 120ml Óleo | Dani Fernandes;R$128,90;Disponivel;1;DIF 27/120;https://danifernandes.com.br/produtos/difusor-de-aromas-verbena-e-limao-siciliano-120ml-oleo-dani-fernandes/
149;13;246350047;Difusor e Sabonete Líquido Sweet 300ml Dani Fernandes;R$353,80;Disponivel;1;967;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-sweet-300-ml-dani-fernandes-967/
150;13;246349719;Difusor de Aromas Verbena e Alecrim 700ml óleo | Dani Fernandes;R$434,90;Disponivel;1;DIF 11/700;https://danifernandes.com.br/produtos/difusor-de-aromas-verbena-e-alecrim-700ml-oleo-dani-fernandes-1khyi/
151;13;246349612;Refil 250ml Sabonete Aroma Romã Glitter;R$73,90;Disponivel;1;REFILSABG/25/250;https://danifernandes.com.br/produtos/refil-250-ml-sabonete-aroma-roma-glitter/
152;13;316842310;Barra de Cera Perfumada Wax Melts Hortênsias & Segredos 50g | Dani Fernandes & Bridgerton;R$99,90;Disponivel;1;CERA /B3/50;https://danifernandes.com.br/produtos/barra-de-cera-perfumada-wax-melts-hortensias-segredos-50g-dani-fernandes-bridgerton-cq7fm/
153;13;316718712;Barra de Cera Perfumada Wax Melts Laranjas & Realeza 50g | Dani Fernandes & Bridgerton;R$99,90;Disponivel;1;CERA /B2/50;https://danifernandes.com.br/produtos/barra-de-cera-perfumada-wax-melts-laranjas-realeza-50g-dani-fernandes-bridgerton-vu8rl/
154;13;246349829;Sabonete Líquido Tênue 700ml | Dani Fernandes;R$341,90;Disponivel;2;SAB 01/700;https://danifernandes.com.br/produtos/sabonete-liquido-tenue-700-ml/
155;13;246349795;Sabonete em Barra Tênue 200g;R$89,90;Disponivel;1;SAB 01/B/200;https://danifernandes.com.br/produtos/sabonete-em-barra-tenue-200-g/
156;13;246349790;Sabonete em Barra Verbena e limão siciliano com 2 unidades;R$99,90;Disponivel;1;SAB 27/B/KIT;https://danifernandes.com.br/produtos/sabonete-em-barra-verbena-kit-com-2-um/
157;14;246349708;Sabonete Líquido com Glitter Flor de Algodão 350ml Dani Fernandes;R$172,90;Disponivel;1;SAB 26/300;https://danifernandes.com.br/produtos/sabonete-glitter-flor-de-algodao-300-ml/
158;14;246349680;Sabonete Líquido Flor de Figo 120ml Dani Fernandes;R$128,90;Disponivel;1;SAB 13/GLIT/120;https://danifernandes.com.br/produtos/sabonete-liquido-flor-de-figo-120-ml/
159;14;246350043;Difusor e Sabonete Líquido Romã 250ml Dani Fernandes;R$330,80;Disponivel;1;961;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-roma-250-ml-dani-fernandes-961/
160;14;246349770;Sabonete Líquido Sagrada Família 250ml | Dani Fernandes;R$154,90;Disponivel;1;SAB 25/N/250;https://danifernandes.com.br/produtos/sabonete-liquido-sagrada-familia-250ml-dani-fernandes-5h2iy/
161;14;290608313;Bloco de Anotações Perfumado Romã 80 Folhas 170x250mm | Dani Fernandes & Animativa;R$97,90;Disponivel;1;BLV25;https://danifernandes.com.br/produtos/bloco-de-anotacoes-perfumado-roma-80-folhas-170x250mm-dani-fernandes-animativa-z2u0v/
162;14;246350079;Óleo Difusor de Aromas Raízes do Brasil 500ml Dani Fernandes;R$434,90;Disponivel;1;DIF 33/500;https://danifernandes.com.br/produtos/oleo-difusor-de-aromas-raizes-do-brasil-500-ml/
163;14;246349962;Difusor de Aromas Maçã e Canela 250ml óleo;R$157,90;Disponivel;1;DIF 21/250;https://danifernandes.com.br/produtos/difusor-de-aromas-maca-e-canela-250ml-oleo/
164;14;246349683;Difusor de Aromas Romã 700ml Óleo Dani Fernandes;R$384,90;Disponivel;1;DIF 25/700;https://danifernandes.com.br/produtos/difusor-de-aromas-roma-700-ml-oleo/
165;14;316637051;Vela Perfumada Laranjas & Realeza 190g | Dani Fernandes & Bridgerton;R$296,90;Disponivel;1;VELA B2/190;https://danifernandes.com.br/produtos/vela-perfumada-laranjas-realeza-190g-dani-fernandes-bridgerton-j6oa3/
