numero;pagina;id_produto;nome;preco;status;variacoes;skus;link
1;1;249365127;Refil de Difusor Aroma Tênue 510ml Óleo Dani Fernandes;R$176,90;Disponivel;7;"REFIL/01/500-1; REFIL/01/500-2; REFIL/01/500-3; REFIL/01/500-4; REFIL/01/500-5; REFIL/01/500-6";https://danifernandes.com.br/produtos/refil-de-difusor-aroma-tenue-510ml-oleo-dani-fernandes/
2;1;246349858;Água Perfumada Tênue 510ml | Dani Fernandes;R$79,90;Disponivel;1;AP 01/500;https://danifernandes.com.br/produtos/agua-perfumada-tenue-500ml/
3;1;246349851;Água Perfumada Flor de Figo 510ml;R$79,90;Disponivel;1;AP 13/500;https://danifernandes.com.br/produtos/agua-perfumada-flor-de-figo-500ml/
4;1;246349630;Refil 500ml Sabonete Aroma Tênue Glitter;R$97,90;Disponivel;1;REFILSABG/01/500;https://danifernandes.com.br/produtos/refil-500-ml-sabonete-aroma-tenue-glitter/
5;1;246350123;Kit Best Sellers Aromatizadores Home Spray 25ml Dani Fernandes;R$149,90;Disponivel;1;KIT/SPRAY/25;https://danifernandes.com.br/produtos/kit-best-sellers-aromatizadores-25ml/
6;1;246349595;Refil 250ml Sabonete Aroma Orquidea | Dani Fernandes;R$73,90;Disponivel;1;REFIL/SAB/20/250;https://danifernandes.com.br/produtos/refil-250-ml-sabonete-aroma-orquidea/
7;1;246349859;Difusor de Aromas Flor de Figo 300ml Óleo Dani Fernandes;R$189,90;Disponivel;1;DIF 13/300;https://danifernandes.com.br/produtos/difusor-de-aromas-flor-de-figo-300-ml-oleo/
8;1;249424181;Refil 500 ml Sabonete Aroma Flor De Figo Glitter Dani Fernandes;R$97,90;Disponivel;1;REFILSABG/13/500;https://danifernandes.com.br/produtos/sabonetes-refil-500-ml-sabonete-aroma-flor-de-figo-glitter/
9;1;246349888;Aromatizador de Ambiente Home Spray Tênue 250ml | Dani Fernandes;R$149,90;Disponivel;1;SPRAY 01/250;https://danifernandes.com.br/produtos/aromatizador-de-ambiente-home-spray-tenue-250ml-dani-fernandes-145w0/
10;1;246349627;Refil 500ml Sabonete Aroma Tênue;R$97,90;Disponivel;1;REFIL/SAB/01/500;https://danifernandes.com.br/produtos/refil-500-ml-sabonete-aroma-tenue/
11;1;246349822;Essência Concentrada Tênue 15ml | Dani Fernandes;R$97,90;Disponivel;1;ES 01/15;https://danifernandes.com.br/produtos/essencia-tenue-15-ml/
12;1;246349874;Aromatizador de Ambiente Home Spray Flor de Figo 250ml | Dani Fernandes;R$149,90;Disponivel;1;SPRAY 13/250;https://danifernandes.com.br/produtos/aromatizador-de-ambiente-home-spray-flor-de-figo-250ml-dani-fernandes-1h0uf/
13;2;246349729;Difusor de Aromas Tênue 350ml óleo;R$214,90;Disponivel;1;DIF 01/GLITTER/350;https://danifernandes.com.br/produtos/difusor-de-aromas-tenue-350ml-oleo/
14;2;246349929;Água Perfumada Orquidea 510ml;R$79,90;Disponivel;1;AP 20/510;https://danifernandes.com.br/produtos/agua-perfumada-dani-fernandes-orquidea-510-ml/
15;2;246349969;Agua Perfumada Verbena e Limão Siciliano 510ml Dani Fernandes;R$79,90;Disponivel;1;AP 27/510;https://danifernandes.com.br/produtos/agua-perfumada-verbena-e-limao-siciliano-510ml-dani-fernandes/
16;2;246349837;Essência Flor de Figo 15ml | Dani Fernandes;R$97,90;Disponivel;1;ES 13/15;https://danifernandes.com.br/produtos/essencia-flor-de-figo-15-ml/
17;2;246349631;Refil 500ml Sabonete Aroma Romã Glitter;R$97,90;Disponivel;1;REFILSABG/25/500;https://danifernandes.com.br/produtos/refil-500-ml-sabonete-aroma-roma-glitter/
18;2;246349620;Refil Sabonete Espumador 250ml Aroma Flor De Figo;R$73,90;Disponivel;1;REFILSABE/13/250;https://danifernandes.com.br/produtos/refil-sabonete-espumador-250ml-aroma-flor-de-figo/
19;2;246349726;Difusor de Aromas Tênue 120ml óleo;R$128,90;Disponivel;1;DIF 01/120;https://danifernandes.com.br/produtos/difusor-de-aromas-tenue-120-ml-oleo/
20;2;246349672;Difusor de Aromas Orquídea 210ml Óleo Dani Fernandes;R$179,90;Disponivel;2;"DIF 20/210; DIF 20/210P";https://danifernandes.com.br/produtos/difusor-de-aromas-orquidea-210-ml-oleo/
21;2;246349918;Água Perfumada Romã 510ml;R$79,90;Disponivel;1;AP 25/510;https://danifernandes.com.br/produtos/agua-perfumada-roma-500ml/
22;2;304376365;Creme para Mãos Instituto Paola Tênue 60g - Renda 100% Revertida em Doações;R$49,90;Disponivel;1;HID 01/IP/60;https://danifernandes.com.br/produtos/creme-para-maos-instituto-paola-tenue-60g-renda-100-revertida-em-doacoes/
23;2;246349772;Óleo Difusor de Aromas Tênue Mae Querida 210ml;R$189,90;Disponivel;1;DIF 01/M/210;https://danifernandes.com.br/produtos/oleo-difusor-de-aromas-tenue-mae-querida-210-ml/
24;2;246349921;Difusor de Aroma Verbena e Limão Siciliano 300ml Óleo Dani Fernandes;R$194,90;Disponivel;1;DIF 27/300;https://danifernandes.com.br/produtos/difusor-de-aromas-verbena-limao-siciliano-300ml-oleo/
25;3;246349597;Refil 250ml Sabonete Aroma Verbena E Limão Siciliano Glitter | Dani Fernandes;R$73,90;Disponivel;1;REFILSABG/27/250;https://danifernandes.com.br/produtos/refil-250-ml-sabonete-aroma-verbena-e-limao-siciliano/
26;3;316873474;Kit 3 Aromatizadores de Ambiente 25ml | Dani Fernandes & Bridgerton;R$199,90;Disponivel;1;KIT/SPRAY/B;https://danifernandes.com.br/produtos/kit-3-aromatizadores-de-ambiente-25ml-dani-fernandes-bridgerton-httjl/
27;3;246349864;Sabonete Líquido Flor de Figo 300ml Dani Fernandes;R$179,90;Disponivel;1;SAB 13/GLIT/300;https://danifernandes.com.br/produtos/sabonete-liquido-flor-de-figo-300-ml/
28;3;246349983;Óleo Difusor de Aromas Flor de Figo Mãe Querida 210ml;R$189,90;Disponivel;1;DIF 13/M/210;https://danifernandes.com.br/produtos/oleo-difusor-de-aromas-flor-de-figo-mae-querida-210-ml-877/
29;3;246349600;Refil 250ml Sabonete Aroma Tênue Glitter;R$73,90;Disponivel;1;REFILSABG/01/250;https://danifernandes.com.br/produtos/refil-250-ml-sabonete-aroma-tenue-glitter/
30;3;246349731;Sabonete Glitter Tênue 350ml;R$195,90;Disponivel;1;SAB 01/GLITTER/350;https://danifernandes.com.br/produtos/sabonete-glitter-tenue-350-ml/
31;3;246349852;Água Perfumada Lavanda 510ml | Dani Fernandes;R$79,90;Disponivel;1;AP 02/500;https://danifernandes.com.br/produtos/agua-perfumada-lavanda-500ml/
32;3;246349849;Água Perfumada Blue 510ml Dani Fernandes;R$55,00;Disponivel;1;AP 14/500;https://danifernandes.com.br/produtos/agua-perfumada-blue-500ml/
33;3;246350063;Água Perfumada Flor de Algodão 510ml;R$79,90;Disponivel;1;AP 26/510;https://danifernandes.com.br/produtos/agua-perfumada-flor-de-algodao-510ml/
34;3;246349675;Sabonete Líquido Orquídea 210ml Dani Fernandes;R$179,90;Disponivel;2;"SAB 20/210; SAB 20/210P";https://danifernandes.com.br/produtos/sabonete-liquido-orquidea-210-ml/
35;3;246350051;Difusor e Sabonete Líquido Tênue 350ml Glitter Dani Fernandes;R$410,80;Disponivel;1;973;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-tenue-350-ml-glitter-dani-fernandes-973/
36;3;246349877;Aromatizador de Ambiente Home Spray Verbena e Limão Siciliano 250ml | Dani Fernandes;R$149,90;Disponivel;1;SPRAY 27/250;https://danifernandes.com.br/produtos/aromatizador-de-ambiente-home-spray-verbena-e-limao-siciliano-250ml-dani-fernandes-1slus/
37;4;246349668;Difusor de Aromas Orquídea 250ml Óleo Dani Fernandes;R$169,90;Disponivel;2;"DIF 20/250; DIF 20/250P";https://danifernandes.com.br/produtos/difusor-de-aromas-orquidea-250-ml-oleo/
38;4;246349626;Refil Sabonete Espumador 250ml Aroma Verbena e Limão Siciliano;R$73,90;Disponivel;1;REFILSABE/27/250;https://danifernandes.com.br/produtos/refil-sabonete-espumador-250ml-aroma-verbena-e-limao-siciliano/
39;4;249103229;Refil de Difusor de Aromas Raízes do Brasil 500ml Óleo Dani Fernandes;R$176,90;Disponivel;7;"REFIL/33/500/V-1; REFIL/33/500/V-2; REFIL/33/500/V-4; REFIL/33/500/V-5; REFIL/33/500/V-6; REFIL/33/500/V-7";https://danifernandes.com.br/produtos/refil-de-difusor-de-aromas-raizes-do-brasil-500ml-oleo-dani-fernandes/
40;4;246349990;Home Spray Mini Rosas Tênue 120ml - Branco | Dani Fernandes;R$142,90;Disponivel;2;"SPRAY 01/120-C; SPRAY 01/120-CP";https://danifernandes.com.br/produtos/home-spray-mini-rosas-tenue-120-ml-creme/
41;4;246349618;Refil Sabonete Espumador 250ml Aroma Tênue;R$73,90;Disponivel;1;REFILSABE/01/250;https://danifernandes.com.br/produtos/refil-sabonete-espumador-250ml-aroma-tenue/
42;4;246350038;Difusor e Sabonete Líquido Orquídea 210ml Dani Fernandes;R$359,80;Disponivel;1;953;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-orquidea-210-ml-dani-fernandes-953/
43;4;246349943;Sabonete Neutralizador de Odores Limão Yuzu e Pimenta Rosa Masterchef 500ml Dani Fernandes;R$136,90;Disponivel;1;SAB MC/500;https://danifernandes.com.br/produtos/sabonete-liquido-neutralizador-de-odores-masterchef-500-ml-dani-fernandes/
44;4;246349986;Difusor de Aromas Mini Rosas Tênue 250ml óleo - Branco;R$176,90;Disponivel;2;"DIF 01/250-C; DIF 01/250-CP";https://danifernandes.com.br/produtos/difusor-de-aromas-mini-rosas-tenue-250-ml-oleo-creme/
45;4;246349674;Difusor de Aromas Flor de Figo 700ml Óleo | Dani Fernandes;R$384,90;Disponivel;2;DIF 13/700;https://danifernandes.com.br/produtos/difusor-de-aromas-flor-de-figo-700-ml-oleo/
46;4;246349593;Refil 250ml Sabonete Aroma Folhas e Ervas;R$73,90;Disponivel;1;REFIL/SAB/17/250;https://danifernandes.com.br/produtos/refil-250-ml-sabonete-aroma-folhas-e-ervas/
47;4;249385836;Refil 250 ml Sabonete Aroma Verbena E Alecrim;R$73,90;Disponivel;1;REFIL/SAB/11/250;https://danifernandes.com.br/produtos/sabonetes-refil-250-ml-sabonete-aroma-verbena-e-alecrim/
48;4;246349924;Sabonete Líquido com Glitter Verbena e Limão Siciliano 300ml Dani Fernandes;R$162,90;Disponivel;1;SAB 27/GLIT/300;https://danifernandes.com.br/produtos/sabonete-liquido-glitter-verbena-e-limao-siciliano-300ml/
49;5;246349644;Refil 500ml Sabonete Aroma Bamboo;R$97,90;Disponivel;1;REFIL/SAB/19/500;https://danifernandes.com.br/produtos/refil-500-ml-sabonete-aroma-bamboo/
50;5;246350020;Difusor e Sabonete Líquido Flor de Figo 300ml Dani Fernandes;R$369,80;Disponivel;1;937;https://danifernandes.com.br/produtos/kit-difusor-e-sabonete-flor-de-figo-300-ml-dani-fernandes-937/
51;5;246349678;Difusor de Aromas Flor de Figo 120ml Óleo Dani Fernandes;R$128,90;Disponivel;1;DIF 13/120;https://danifernandes.com.br/produtos/difusor-de-aromas-flor-de-figo-120-ml-oleo/
52;5;246349709;Difusor de Aromas Lavanda 250ml Óleo Dani Fernandes;R$157,90;Disponivel;2;"DIF 02/250; DIF 02/250P";https://danifernandes.com.br/produtos/difusor-de-aromas-lavanda-250-ml-oleo/
53;5;246350067;Home Spray Neutralizador de Odores Bergamota Italiana e Ervas Finas Masterchef 250ml Dani Fernandes;R$199,90;Disponivel;1;SPRAY MC2/250;https://danifernandes.com.br/produtos/home-spray-neutralizador-de-odores-bergamota-italiana-amp-ervas-finas-masterchef-250-ml/
54;5;246349835;Creme para Mãos caixa com 4 unidades;R$206,90;Disponivel;1;KIT/HID;https://danifernandes.com.br/produtos/creme-para-maos-caixa-kit-com-4-um/
55;5;259927480;Bandeja em Cerâmica com Borda Dourada Jardim Secreto Dani Fernandes Best Seller;R$206,90;Disponivel;1;BAND/BS;https://danifernandes.com.br/produtos/bandeja-em-ceramica-com-borda-dourada-jardim-secreto-dani-fernandes/
